termino,etiqueta,significado,traduccion_1,traduccion_2,traduccion_3,traduccion_4,
Akietá,Verbo infinitivo,Reducir movimiento o inquietud.,Aquietar,Calmar,Tranquilizar,,
Akieténo,Imperativo plural,Reduzcan movimiento o inquietud.,Aquieten,Calmen,Tranquilicen,,
Akkadde,Sustantivo,Autoridad administrativa local.,Alcalde,Gobernante local,,,
Akkansá,Verbo infinitivo,Llegar hasta algo o alguien.,Alcanzar,Llegar,Lograr,,
Akkanséno,Imperativo plural,Lleguen hasta algo o alguien.,Alcancen,Lleguen,Logren,,
Aklamá,Verbo infinitivo,Exaltar o alabar en público.,Aclamar,Elogiar,Vitorear,,
Aklaméno,Imperativo plural,Exalten o alaben en público.,Aclamen,Elogien,Vitoréen,,
Akoddá,Verbo infinitivo,Tener presente algo en la memoria.,Recordar,Rememorar,Evocar,,
Akoddéno,Imperativo plural,Tengan presente algo en la memoria.,Recuerden,Rememoren,Evoquen,,
Akokiná,Verbo infinitivo,Generar miedo o intimidación.,Acobardar,Intimidar,Amilanar,,
Akokinéno,Imperativo plural,Generen miedo o intimidación.,Acobarden,Intimiden,Amilanen,,
Akottumbrá,Verbo infinitivo,Hacerse familiar o natural con algo.,Acostumbrar,Habituar,Adaptar,,
Akottumbréno,Imperativo plural,Háganse familiar o natural con algo.,Acostúmbrense,Habítense,Adáptense,,
Akueddo,Sustantivo,Pacto o convenio entre partes.,Acuerdo,Pacto,Convenio,,
Alendro,Adverbio,Indica localización interna.,Adentro,Dentro,En el interior,,
Alepuela,Sustantivo,Juego tradicional de infancia.,Juego de niños,Jugueteo,,,
Alitá,Verbo reflexivo,Prepararse para una acción.,Alistarse,Prepararse,Disponer,,
Aliténo,Imperativo plural,Prepárense para una acción.,Alístense,Prepárense,Dispónganse,,
Aló,Sustantivo,Cereal básico en la dieta.,Arroz,,,,
Aloito,Sustantivo,Curso de agua pequeño.,Arroyito,Caudal pequeño,Riachuelo,,
Alokutoroson,Sustantivo,Algo placentero o delicioso.,Ricura,Delicia,,,
Aloyo,Sustantivo,Corriente de agua natural pequeña.,Arroyo,Riachuelo,Caudal pequeño,,
Alumbralo,Adjetivo,Que emite luz o está iluminado.,Iluminado,Brillante,Radiante,,
Amalaya,Verbo infinitivo,Expresar un deseo ferviente.,Desear,Anhelar,Aspirar,,
Amalayeéno,Imperativo plural,Expresen un deseo ferviente.,Deseen,Anhelen,Aspiren,,
Amanesé,Verbo intransitivo,Comienzo del día.,Amanecer,Alborear,Madrugar,,
Amarío,Adjetivo,Color cálido similar al oro o al sol.,Amarillo,,,,
Ambelike,Adjetivo,Persona con actitudes desobedientes o groseras.,Malcriado,Grosero,Desobediente,,
Amblasá,Verbo infinitivo,Rodear con los brazos como señal de afecto o cariño.,Abrazar,Ceñir,Envolver,,
Amblaséno,Imperativo plural,Rodeen con los brazos como señal de afecto o cariño.,Abracen,Ceñan,Envolvan,,
Ambrakambraka,Sustantivo,Preparación de arroz con vísceras o asaduras.,Arroz con asadura,,,,
Ambulú,Adjetivo,Persona de ojos grandes y expresivos.,Ojón,Ojo grande,,,
Ambulú,Sustantivo,Bebida alcohólica casera.,Bebida alcohólica,Trago casero,,,
Ambulukú,Sustantivo,Tela para cubrir el cuerpo al dormir.,Sábana,Cobija,,,
Ambuya,Sustantivo,Alimento elaborado con sangre cocida y especias.,Morcilla,,,,
Amérika,Sustantivo,Continente occidental dividido en regiones.,América,,,,
Amma,Sustantivo,Parte espiritual e intangible de un ser.,Alma,Espíritu,,,
Amonía,Sustantivo,Convivencia pacífica entre elementos o personas.,Armonía,Concordia,Equilibrio,,
Amosa,Adjetivo,Persona o cosa que posee gran belleza.,Hermosa,Bella,Atractiva,,
Anabakurú,Sustantivo colectivo,Agrupación de personas mayores o guardianes ancestrales.,Grupo de mayores,Guardia cimarrona,Sabios mayores,,
Anamú,Sustantivo,Planta medicinal de propiedades curativas.,Planta medicinal,Hierba curativa,,,
Anchoba,Verbo infinitivo,Ofrecer algo a alguien de manera voluntaria.,Ofrecer,Brindar,Proponer,,
Anchóba,Adjetivo,Algo sencillo o sin complicación.,Fácil,Simple,Sencillo,,
Anchobéno,Imperativo plural,Ofrezcan algo de manera voluntaria.,Ofrezcan,Brinden,Propongan,,
Anchobéro,Sustantivo,Persona que busca aprovechar oportunidades para su beneficio.,Oportunista,Ventajoso,Aprovechado,,
Anchunchéno,Imperativo plural,Actúen en complicidad o confabulación con otros.,Confabulen,Conspiren,Tramen,,
Anchúncho,Verbo infinitivo,Actuar en complicidad o confabulación con otros.,Confabular,Conspirar,Tramar,,
Andi,Preposición,Indica ubicación o dirección.,En,Dentro de,,,
Andómia,Sustantivo,Representación abstracta en la mente sobre algo.,Idea,Concepto,Pensamiento,,
Andundero,Adjetivo,Persona que actúa de forma apresurada o imprudente.,Impulsivo,Temerario,Apresurado,,
Ané,Pronombre personal,Se refiere a varias personas de género masculino o femenino.,Ellos,Ellas,,,
Angayusa,Sustantivo,Mirada intensa o perturbadora.,Mirada fuerte,Mirada penetrante,Mirada inquietante,,
Angía,Sustantivo,"Pez de cuerpo alargado y flexible, generalmente de agua dulce.",Anguilla,,,,
Anginí,Sustantivo,Persona que no pertenece al lugar o comunidad.,Forastero,Extranjero,,,
Angolito,Sustantivo,Nido o estructura de avispas.,Panal de avispas,Enjambre,,,
Angoto,Adjetivo,Algo estrecho o reducido en espacio.,Angosto,Estrecho,Reducido,,
Anguía,Sustantivo,"Sinónimo de anguilla, pez alargado.",Anguila,,,,
Anío,Sustantivo,Aro que se coloca como adorno en el dedo.,Anillo,Sortija,,,
Anjá,Interjección,Expresión afirmativa de conformidad o acuerdo.,Ajá,Sí,De acuerdo,Claro,
Anje,Sustantivo,Figura celestial representativa de bondad y protección.,Ángel,Ser celestial,,,
Anjualá,Conjunción,Introduce una idea contraria. Expresa una objeción o dificultad que no impide la acción del verbo,Aunque,,,,
Anke,Conjunción,Sinónimo de aunque.,Aunque,,,,
Ansierá,Sustantivo,Sensación de intranquilidad o preocupación.,Ansiedad,Agitación,Inquietud,,
Ansusú,Sustantivo,Residuo o material descartado como inútil.,Desecho,Residuo,Basura,,
Ánteba,Adverbio,En un tiempo previo al actual.,Antes,,,,
Anteseriomente,Adverbio,Sinónimo de anteriormente.,Anteriormente,Previamente,,,
Antonse,Conjunción,Marca una consecuencia o conclusión lógica.,Entonces,Por lo tanto,,,
Añarí,Verbo infinitivo,Agregar o incorporar algo a un conjunto.,Añadir,Sumar,Agregar,,
Añarinéno,Imperativo plural,Agreguen o incorporen algo a un conjunto.,Añadan,Sumen,Agreguen,,
Añingotá,Verbo reflexivo,Bajar el cuerpo acercándolo al suelo.,Agacharse,Inclinarse,,,
Añingotà,Verbo infinitivo,Unir o reunir elementos separados.,Juntar,Reunir,Unificar,,
Añingoténo,Imperativo plural,Bajen el cuerpo acercándolo al suelo.,Agáchense,Inclínense,,,
Añingoténo,Imperativo plural,Unan o reúnan elementos separados.,Junten,Reúnan,Unifiquen,,
Añokurí,Sustantivo,Libro pequeño usado para tomar apuntes.,Cuaderno,Libreta,,,
Añú,Interjección,Expresión para indicar dolor o queja.,Expresión de dolor,Ay,,,
Añukirikí,Sustantivo,Cuaderno o libreta de tamaño pequeño.,Libreta,,,,
Añuñío,Adjetivo,Que está encogido o recogido sobre sí mismo.,Encogido,Contraído,Acurrucado,,
Añurikí,Sustantivo,Objeto usado para afilar lápices.,Sacapunta,,,,
Aóra,Adverbio,Indica el momento presente.,Ahora,En este momento,,,
Apagriná,Verbo infinitivo,Brindar protección o amparo.,Amparar,Proteger,Resguardar,,
Apagrinéno,Imperativo plural,Brinden protección o amparo.,Amparen,Protejan,Resguarden,,
Apattá,Verbo infinitivo,Separar algo o a alguien de un grupo o lugar.,Apartar,Alejar,Retirar,,
Apatténo,Imperativo plural,Sepáren algo o a alguien de un grupo o lugar.,Aparten,Alejen,Retiren,,
Apelatibo,Sustantivo,Nombre de familia o apellido.,Apellido,,,,
Aposendo,Sustantivo,"Cuarto, habitación dentro de una casa.",Cuarto,,,,
Apú,Sustantivo,Líquido esencial para la vida.,Agua,,,,
Apurá,Verbo infinitivo,Hacer algo con mayor rapidez o urgencia.,Apurar,Acelerar,Dar prisa,,
Apuréno,Imperativo plural,Hagan algo con mayor rapidez o urgencia.,Apuren,Aceleren,Den prisa,,
Arajo,Interjección,Expresión de sorpresa o admiración.,Carajo,Vaya,,,
Arelite,Sustantivo,"Plantas verdes comestibles, especialmente en sopas o guisos.",Verdura,Vegetal,,,
Arepuéla,Sustantivo,Preparación alimenticia similar a una arepa pero más pequeña.,Arepa pequeña,,,,
Arí,Verbo intransitivo,Emitir sonidos de alegría.,Reír,,,,
Arí,Verbo reflexivo,"Levantar el vello por emoción, miedo o frío.",Erizarse,Poner la piel de gallina,,,
Ariba,Adverbio,En una posición más alta.,Arriba,,,,
Aribiná,Verbo infinitivo,Predecir o revelar lo oculto.,Adivina,Presagia,,,
Aribinéno,Imperativo plural,Predigan o revelen lo oculto.,Adivinen,Presagien,,,
Arío,Interjección,Expresión para despedirse.,Adiós,,,,
Ariséno,Imperativo plural,"Levanten el vello por emoción, miedo o frío.",Erícense,Pónganse la piel de gallina,,,
Ariséno,Imperativo plural,Emitan sonidos de alegría.,Rían,,,,
Arjíbe,Sustantivo,Depósito subterráneo para almacenar agua potable.,Pozo profundo de agua,,,,
Aróbo,Sustantivo,"Comida especial, elaborada con esmero.",Comida especial,Bien sazonada,,,
Arorá,Verbo infinitivo,Rendir culto o veneración.,Adorar,Venerar,Reverenciar,,
Aroréno,Imperativo plural,Rindan culto o veneración.,Adoren,Veneren,Reverencien,,
Arreempujá,Verbo infinitivo,Aplicar fuerza para mover algo.,Mover,Empujar,,,
Arreempujéno,Imperativo plural,Apliquen fuerza para mover algo.,Muevan,Empujen,,,
Arrégo,Frase,Indica sustitución de algo por otra cosa.,En vez de,Más bien,,,
Arrelike,Sustantivo,Instrumentos utilizados para trabajos o labores específicas.,Herramientas,Utensilios,Aseguranza,,
Arremontá,Sustantivo,Ropa usada que se regala a otros.,Ropa vieja para regalar,,,,
Arriá,Verbo infinitivo,Dirigir o guiar animales de carga o pastoreo.,Arrear,,,,
Arriéno,Imperativo plural,Dirijan o guíen animales de carga o pastoreo.,Arreen,,,,
Arumá,Verbo infinitivo,Colocar cosas de forma ordenada en un lugar.,Arrumar,Amontonar,,,
Aruméno,Imperativo plural,Coloquen cosas de forma ordenada en un lugar.,Arrumen,Amontonen,,,
Asaté,Frase,Indica conformidad o afirmación categórica.,Así es,,,,
Ásate,Adjetivo,Persona afortunada o con buena suerte.,Suertudo,Afortunado,Bendecido,,
Asaúra,Sustantivo,Vísceras de animales utilizadas en la cocina.,Asadura,Menudencia,Vísceras,,
Ase,Marcador preverbal aspectual temporal ,Indica una acción habitual en el pasado.,Marcador preverbal,Solía,Era,,
Asé,Verbo infinitivo,Ejecutar o realizar una acción. Se usa en frases del presente continuo para expresar acciones en progreso.,Hacer,Producir,Crear,,
Aseba,Verbo copulativo,Referirse a una existencia o estado pasado.,Era,Existía,Representaba,,
Asebáno,Imperativo plural,Refieran a una existencia o estado pasado.,Eran,Existían,Representaban,,
Asína,Adverbio,Indica modo o conformidad; expresión afirmativa.,Así,Bueno,De esta manera,,
Asina ría,Frase,Expresión de saludo por la mañana.,Buenos días,Saludo matutino,,,
Asokasú,Sustantivo,Bolsa o funda para guardar objetos.,Funda,Bolsa,Cobertor,,
Asoliá,Verbo infinitivo,Exponer algo al sol.,Asolear,Secar al sol,Templar,,
Asoliéno,Imperativo plural,Expongan algo al sol.,Asoleen,Secquen al sol,Tempren,,
Asomá,Verbo intransitivo,Hacer visible o sacar una parte de algo.,Asomar,Mostrar,Sobresalir,,
Asoméno,Imperativo plural,Hagan visible o saquen una parte de algo.,Asomen,Muestren,Sobresalgan,,
Ata,Preposición,Marca el límite o destino de algo.,Hasta,A,,,
Atabaná,Verbo infinitivo,"Perseguir o acosar con insistencia, a veces con violencia.",Acosar,Llenar de golpes,Perseguir,,
Atabanéno,Imperativo plural,Persigan o acosen con insistencia.,Acosen,Golpeen,Persigan,,
Atabuke,Sustantivo,Representación de fertilidad o también refiere a un batuque.,Fertilidad,Batuque,Fiesta ritual,,
Ataño,Adverbio,Referente a tiempos pasados o antiguos.,Antaño,En otros tiempos,Época pasada,,
Atendé,Verbo infinitivo,Prestar atención o cuidado a algo o alguien.,Atender,Escuchar,Cuidar,,
Atendéno,Imperativo plural,Presten atención o cuidado a algo o alguien.,Atiendan,Escuchen,Cuiden,,
Atisá,Verbo infinitivo,Hacer que algo sea más claro o entendible.,Aclarar,Explicar,Aportar,,
Atiséno,Imperativo plural,Hagan algo más claro o entendible.,Aclaren,Expliquen,Aporten,,
Atrabé,Locución,A través de un medio o lugar.,A través,Por medio de,Mediante,,
Atré,Verbo infinitivo,Llevar algo al lugar donde está el hablante.,Traer,Acercar,Transportar,,
Atréno,Imperativo plural,Lleven algo al lugar donde está el hablante.,Traigan,Acerquen,Transporten,,
Atrinká,Verbo infinitivo,Aplicar presión o cerrar algo fuertemente.,Apretar,Obstruir,Tapar,,
Atrinkéno,Imperativo plural,Apliquen presión o cierren algo fuertemente.,Aprieten,Obstruyan,Tapen,,
Attíkulo,Sustantivo,Palabra que determina o califica un sustantivo.,Artículo,,,,
Attua,Adjetivo,Relativo al tiempo presente o contemporáneo.,Actual,Presente,Vigente,,
Attúro,Sustantivo propio,Nombre masculino.,Arturo,,,,
Ayé,Adverbio,Indica el día inmediatamente anterior al presente.,Ayer,,,,
Babasá,Sustantivo,"Falta de sentido, contenido o sustancia.",Vacuencia,Vacuidad,Ausencia de esencia,,
Babía,Sustantivo,Reptil similar al cocodrilo de menor tamaño.,Babilla,,,,
Babita,Sustantivo,"Pequeña cantidad de líquido, especialmente saliva.",Poquito,Gota,Minúscula porción,,
Bae,Verbo infinitivo,Desplazarse de un lugar a otro.,Ir,Dirigirse,Trasladarse,,
Baéno,Imperativo plural,Desplácense de un lugar a otro.,Vayan,Diríjanse,Trasládense,,
Bafiote,Sustantivo,"Persona de raza negra, especialmente hombre.",Hombre negro,Afrodescendiente,,,
Bággame,Interjección,Expresión de sorpresa o ruego.,Válgame,Dios mío,Por favor,,
Bagóso,Adjetivo,Que tiene defectos o imperfecciones.,Defectuoso,Imperfecto,Fallido,,
Baireké,Sustantivo,Maletín usado para transportar pertenencias.,Maletín,Bolso,Portafolio,,
Bajareke,Sustantivo,Estructura vertical que separa o delimita espacios.,Pared,Muro,Barrera,,
Bajarekera,Sustantivo,"Mujer considerada como bruja, particularmente de mayor edad.",Bruja,Bruja adulta,Anciana hechicera,,
Bajéno,Imperativo plural,"Expulsen aire con fuerza, especialmente con la boca.",Sopleen,Echen aliento,Venteen,,
Bajiá,Verbo transitivo,"Expulsar aire con fuerza, especialmente con la boca.",Soplar,Echar el aliento,Ventear,,
Bajo,Adverbio,Indica una posición inferior.,Abajo,Debajo,En la parte inferior,,
Bajopié,Sustantivo,"Área genital, especialmente masculina.",Genitales,Parte íntima,,,
Bakía,Adjetivo,Persona rápida en movimientos o reacciones.,Ágil,Rápido,Veloz,,
Bakía,Verbo transitivo,Convencer o persuadir a alguien de algo.,Persuadir,Convencer,Influir,,
Bakiéno,Imperativo plural,Convenzan o persuadan a alguien de algo.,Persuadan,Convenzan,Influyan,,
Bakuénsia,Sustantivo,Palabras o comentarios carentes de sentido.,Habladuría,Tontería,Chismorreo,,
Bakulú,Sustantivo,Grupo especializado en prácticas adivinatorias.,Grupo de adivinos,Lectores de suerte,Videntes,,
Bakutáno,Adjetivo,Que no tiene utilidad o valor.,Inservible,Ineficaz,Descartable,,
Balá,Sustantivo,Verdad o certeza sobre algo.,Verdad,Certeza,Realidad,,
Balé,Verbo transitivo,Limpiar el suelo usando una escoba.,Barrer,Escobar,Limpiar,,
Baléno,Imperativo plural,Limpien el suelo usando una escoba.,Barran,Escoben,Limpien,,
Balentiela,Sustantivo,Mueble destinado para dormir.,Cama,Camastro,Lecho,,
Banchoke,Sustantivo,Punto o cruce con alto riesgo de accidente.,Cruce peligroso,Intersección peligrosa,Paso arriesgado,,
Bandalaje,Adjetivo,Persona desorientada o extraviada.,Perdido,Extraviado,Confundido,,
Bandok,Sustantivo,Hijo de alguien asociado con prácticas mágicas o esotéricas.,Hijo de brujo,Descendiente de hechicero,,,
Banganga,Sustantivo,Joven aprendiz de brujería.,Bruja adolescente,Aprendiz de magia,,,
Bangaña,Sustantivo,Recipiente hecho de totuma usado para contener líquidos.,Totuma,Vasija,,,
Bangáño,Sustantivo,Calabaza hueca usada como utensilio o recipiente.,Calabazo,,,,
Bangasunga,Sustantivo,Intensa emoción o amor apasionado.,Pasión,Fervor,Emoción,,
Bangulú,Sustantivo,Ritual nocturno propio del lumbalú en ceremonias fúnebres.,Ritual de medianoche,Ceremonia de lumbalú,,,
Banibasa,Sustantivo,Órganos internos de animales.,Víscera,Menudencia,,,
Baranganga,Sustantivo,"Secreto, información reservada.",Secreto,,,,
Baríka,Sustantivo,Abdomen o vientre de una persona o animal.,Barriga,Estómago,Abdomen,,
Barrankiya,Sustantivo propio,Nombre de la ciudad de Barranquilla.,Barranquilla,,,,
Barruntiá,Verbo transitivo,Ensuciar o deteriorar algo.,Percudir,Ensuciar,Manchar,,
Barruntiéno,Imperativo plural,Ensucien o deterioren algo.,Percudan,Ensucien,Manchen,,
Barulako,Adjetivo,Persona o cosa que finge o engaña.,Fementido,Hipócrita,Falso,,
Baruláko,Adjetivo,Algo que ha perdido su utilidad o está en mal estado.,Dañado,Inútil,Descompuesto,,
Basalingo,Sustantivo,Objeto utilizado para medir el tiempo.,Reloj,Cronómetro,,,
Basayá,Verbo transitivo,Infligir daño físico o emocional a alguien.,Maltratar,Ultrajar,Lastimar,,
Basayéno,Imperativo plural,Inflijan daño físico o emocional a alguien.,Maltraten,Ultrajen,Lastimen,,
Batajóla,Verbo intransitivo,Lograr superar una dificultad o problema.,Sobreponerse,Recuperarse,Afrontar,,
Batajóleno,Imperativo plural,Superen una dificultad o problema.,Sobrepónganse,Recupérense,Afronten,,
Batáta,Sustantivo,Tubérculo comestible de sabor dulce.,Batata,Boniato,,,
Batéi,Sustantivo,Lugar donde se realiza el comercio de bienes.,Mercado,Plaza,,,
Batukao,Adjetivo/Sustantivo,"Veterano, persona con experiencia.",Veterano,,,,
Baú,Sustantivo,Caja grande para almacenar objetos o ropa.,Baúl,Cofre,,,
Begá,Sustantivo,Cada ocasión o tiempo en que algo ocurre.,Vez,Ocasión,,,
Belorio,Sustantivo,Ceremonia o vigilia en honor a un difunto.,Velorio,Funeral,Exequias,,
Bendé,Verbo transitivo,Transferir la propiedad de algo a cambio de dinero.,Vender,Comerciar,,,
Bendéno,Imperativo plural,Transfieran la propiedad de algo a cambio de dinero.,Vendan,Comercien,,,
Bentorriyo,Sustantivo,Establecimiento donde se venden artículos de uso diario.,Tienda,Comercio pequeño,,,
Bera,Sustantivo,Borde de un cuerpo de agua o límite de una superficie.,Orilla,Ribera,,,
Béra,Adverbio / Sustantivo,Cercanía física o en el espacio.,Cerca,Próximo,,,
Berusa,Sustantivo,Madera recolectada de los arroyos para encender fuego.,Leña del arroyo,Combustible vegetal,,,
Besino,Sustantivo,Persona que vive cerca de otra.,Vecino,Colindante,Habitante cercano,,
Betia,Sustantivo,Animal doméstico usado para montar o transportar.,Caballo,Equino,,,
Biáje,Sustantivo,Traslado de un lugar a otro por cualquier medio.,Viaje,Recorrido,Trayecto,,
Bibí,Verbo transitivo,"Existir, habitar o estar en un lugar.",Vivir,Habitar,Subsistir,,
Bibíno,Imperativo plural,"Existan, habiten o estén en un lugar.",Vivan,Habiten,Subsistan,,
Bibióso,Adjetivo,Persona que aparenta o finge algo contrario a lo que es.,Hipócrita,Falso,Disimulador,,
Bibo,Adjetivo,Algo fundamental o de gran importancia.,Esencial,Vital,Indispensable,,
Biche,Sustantivo,Bebida fermentada originaria del Chocó.,Bebida alcohólica,,,,
Bilangte,Verbo transitivo,Conseguir o alcanzar un objetivo.,Lograr,Alcanzar,Obtener,,
Bilangténo,Imperativo plural,Consigan o alcancen un objetivo.,Logren,Alcancen,Obtengan,,
